"Location","nation","Country","Country_work","gender","what_participant_group","field_research","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","total_research"
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",30,60,10,70,30,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",60,40,0,80,20,0,100
"Australia","Australia","Australia","Australia","Female","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Medicine and Life Science",30,30,40,80,0,20,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",80,20,0,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",10,10,80,50,10,40,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",80,20,0,70,20,10,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",40,40,20,50,50,0,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",40,30,30,100,0,0,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",30,20,30,60,40,0,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",30,60,0,70,30,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",30,50,20,50,40,0,90
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",70,30,0,90,10,0,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Engineering",60,0,40,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",50,0,50,20,0,80,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",30,50,20,60,20,20,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",30,0,70,50,0,50,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",40,40,20,60,40,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Interdisciplinary Science",50,50,0,70,30,0,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",90,10,0,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",20,60,20,50,50,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Engineering",20,40,40,40,20,40,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",50,10,40,80,0,20,100
