"Status","Updated_At","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","Country"
"Incomplete","7/5/16 13:49","Israel","Senior academic researcher with >10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","","3-Jan","","","50%","","","50%","","","Somewhat important","Somewhat important","Not very important","Not very important","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 13:50","Israel","Senior academic researcher with >10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 13:50","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 13:51","Israel","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 13:54","Israel","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 13:59","Israel","Senior academic researcher with >10 years of experience applying for research grants","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 14:03","Israel","Senior academic researcher with >10 years of experience applying for research grants","","100%","","No","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 14:29","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","100%","50%","0%","No","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 14:16","Israel","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 14:19","Israel","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","10%","0%","90%","Yes","60%","0%","40%",1,1,NA,NA,NA,"","Slightly negative","No partnership","Yes","Exclusive partnership",NA,1,NA,1,NA,"","Very negative","0","0","3-Jan","3-Jan","0","0","0%","0%","0%","0%","0%","0%","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/6/16 16:30","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 14:45","Israel","Senior academic researcher with >10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 15:05","Finland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","0%","0%","100%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","0","0","6-Apr","0","0","3-Jan","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Finland"
"Incomplete","7/5/16 15:21","Israel","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 15:50","Israel","","90%","","10%","Yes","20%","40%","40%",NA,NA,NA,NA,1,"retirement from my main institute and changing of host institute (I am now a visting Prof) ","Very positive","No partnership","Yes","Some partnership",NA,NA,NA,NA,1,"Change of institutes ","Neutral","3-Jan","","","6-Apr","3-Jan","3-Jan","100%","0%","0%","100%","100%","100%","Not at all important","Quite important","Not at all important","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 15:51","Israel","Senior academic researcher with >10 years of experience applying for research grants","80%","20%","","Yes","100%","0%","0%",1,1,1,1,NA,"","Very positive","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","0","0","6-Apr","0","0","70%","No need for applications for this research type","No need for applications for this research type","50%","No need for applications for this research type","No need for applications for this research type","Quite important","Not at all important","Can't comment","Can't comment","30%","50%","0%","20%","0%","","30%","70%","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 17:14","Israel","Senior academic researcher with >10 years of experience applying for research grants","70%","30%","0%","Yes","90%","10%","0%",NA,NA,1,NA,NA,"","Slightly positive","Some partnership","Yes","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 17:41","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","10%","","90%","Yes","30%","","70%",NA,NA,1,NA,NA,"","Very positive","Exclusive partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Very positive","9-Jul","","6-Apr","9-Jul","","6-Apr","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 17:59","Israel","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 18:06","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","90%","10%","0%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","0","0","0","0","0","0","","0%","0%","0%","0%","0%","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:14","Ontario","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:16","Alberta","Senior academic researcher with >10 years of experience applying for research grants","60%","20%","20%","Yes","80%","10%","10%",1,1,1,NA,NA,"","Neutral","Some partnership","Yes","Some partnership",1,1,NA,1,NA,"","Neutral","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","30%","20%","40%","50%","20%","20%","Very important","Somewhat important","Quite important","Somewhat important","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:15","","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","",""
"Incomplete","7/5/16 19:19","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","70%","100%","30%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","0","0","0","","","","","","","","","","Very important","","","","","","","","","","","","","","","","Can't comment","Can't comment","Can't comment","Very important",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:37","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","0%","50%","50%","Yes","","100%","",NA,1,NA,NA,NA,"","Slightly positive","Strong partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","0","6-Apr","3-Jan","","","","No need for applications for this research type","80%","","No need for applications for this research type","","20%","Can't comment","Can't comment","Can't comment","Can't comment","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 20:47","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:55","Manitoba","Senior academic researcher with >10 years of experience applying for research grants","70%","30%","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:20","Quebec","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","90%","80%","80%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:24","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","80%","20%","","No","","","",NA,NA,NA,NA,NA,"","","Exclusive partnership","No","",NA,NA,NA,NA,NA,"","","0","0","0","3-Jan","0","0","","","","70%","No need for applications for this research type","No need for applications for this research type","Can't comment","Not at all important","Can't comment","Can't comment","","100%","","","","","","100%","","","","","Decreased considerably","Can't comment","Can't comment","Can't comment",NA,NA,1,NA,"","Will decrease considerably","Can't comment","Will increase considerably","Can't comment","","Natural Science","1996","Canada","Male","Canada"
"Incomplete","7/5/16 19:20","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","90%","80%","50%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:24","Ontario","Senior academic researcher with >10 years of experience applying for research grants","40%","40%","20%","Yes","40%","50%","10%",1,NA,1,NA,NA,"","Slightly positive","No partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:20","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","",""
"Incomplete","7/5/16 19:22","Ontario","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:56","Saskatchewan","","30%","","","Yes","","","",NA,NA,NA,NA,NA,"","","","Yes","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","Crown Corporations funding applied projects. Please note, that my applications and success with for-profit or crown corporations has not changed much over the years. However, my options to apply for basic research has diminished greatly or become more difficult to obtain.","","","","","","Here is an example, in this period of time, basic research funding was more readily available, hence my program consisted of a mix of funding sources. However, more recently (after 2009) my options to raise funds from the federal government became limited and I started to rely more on private, crowns coporations or not for profit. Your survey does not address this shift well","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:25","North Carolina","Senior academic researcher with >10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","6-Apr","0","0","","No need for applications for this research type","No need for applications for this research type","","No need for applications for this research type","No need for applications for this research type","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","USA"
"Incomplete","7/5/16 19:29","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","20%","","80%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","0","0","0","0","0","0","0%","0%","0%","0%","0%","0%","Can't comment","Can't comment","Can't comment","Can't comment","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:26","Ontario","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:36","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","50%","20%","30%","Yes","80%","10%","10%",NA,1,1,NA,NA,"","Slightly negative","Some partnership","Yes","No partnership",NA,NA,1,1,NA,"","Neutral","3-Jan","0","3-Jan","0","0","0","100%","No need for applications for this research type","70%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Somewhat important","Quite important","Somewhat important","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:30","Ontario","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","10%","70%","20%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:28","Alberta","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:33","Manitoba","Senior academic researcher with >10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:39","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:42","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:46","Ontario","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:52","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","90%","10%","0%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:52","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","50%","50%","No","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:54","Saskatchewan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","70%","20%","10%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:56","Quebec","Senior academic researcher with >10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 19:57","Ontario","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 20:07","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","70%","20%","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 20:07","Ontario","Senior academic researcher with >10 years of experience applying for research grants","10%","20%","70%","Yes","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 20:07","South Africa","Senior academic researcher with >10 years of experience applying for research grants","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","South Africa"
"Incomplete","7/5/16 20:14","Ontario","Senior academic researcher with >10 years of experience applying for research grants","80%","","20%","No","","","",NA,NA,NA,NA,NA,"","","Exclusive partnership","Yes","No partnership",1,NA,NA,NA,NA,"","Slightly positive","0","0","0","3-Jan","3-Jan","3-Jan","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 20:16","Ontario","Senior academic researcher with >10 years of experience applying for research grants","20%","60%","20%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Very negative","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 20:19","Ontario","Senior academic researcher with >10 years of experience applying for research grants","60%","20%","20%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","Some partnership",NA,NA,NA,1,1,"Research clients and audiences come and go","Slightly positive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 20:32","Ontario","Senior academic researcher with >10 years of experience applying for research grants","70%","20%","10%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","0","0","0","3-Jan","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 20:34","Israel","Senior academic researcher with >10 years of experience applying for research grants","90%","10%","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Israel"
"Incomplete","7/5/16 20:38","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","20%","40%","20%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","0","3-Jan","3-Jan","0","0","0","No need for applications for this research type","100%","100%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Mandatory","Can't comment","Quite important","Can't comment","0%","80%","20%","0%","","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","Somewhat important",NA,NA,NA,1,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 20:39","Ontario","Senior academic researcher with >10 years of experience applying for research grants","0%","0%","100%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","0","0","9-Jul","0","0","9-Jul","","","50%","","","90%","Mandatory","Mandatory","Not very important","Not very important","10%","80%","10%","0%","0%","","10%","70%","20%","","","","Can't comment","Can't comment","Decreased","Somewhat important",NA,NA,1,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 20:42","Ontario","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 20:47","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 20:49","Ontario","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 20:57","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","70%","20%","10%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","United Kingdom"
"Incomplete","7/5/16 20:57","Ontario","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 21:08","","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","",""
"Incomplete","7/5/16 21:22","France","Senior academic researcher with >10 years of experience applying for research grants","80%","50%","80%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","Some partnership",1,NA,NA,NA,NA,"","Very positive","6-Apr","6-Apr","6-Apr","6-Apr","6-Apr","6-Apr","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","France"
"Incomplete","7/5/16 21:25","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","100%","0%","30%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","3-Jan","0","0","50%","No need for applications for this research type","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","Very important","Somewhat important","Can't comment","Can't comment","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/7/16 6:36","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 21:36","Manitoba","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 21:56","Alberta","Senior academic researcher with >10 years of experience applying for research grants","0%","50%","50%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Yes","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 22:25","Israel","","10%","20%","70%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","Strong partnership",NA,1,NA,NA,NA,"","Neutral","9-Jul","9-Jul","6-Apr","13-15","9-Jul","9-Jul","","","100%","100%","","","Quite important","Mandatory","Not very important","Can't comment","100%","","","","","","","","","","","","Increased","Decreased","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will decrease considerably","Will stay the same","Will stay the same","Will increase slightly","","Interdisciplinary Science","","","Male","Israel"
"Incomplete","7/5/16 22:18","Ontario","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","7/5/16 22:39","","Senior academic researcher with >10 years of experience applying for research grants","10%","60%","30%","Yes","70%","20%","10%",NA,NA,1,NA,NA,"","Slightly negative","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","6-Apr","3-Jan","6-Apr","0","0","50%","20%","30%","60%","No need for applications for this research type","100%","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","",""
