"Location","Country","Country_work","gender","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation"
"Alberta","Canada","Canada","Male","Very important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease considerably"
"New Brunswick","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will decrease considerably"
"Quebec","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably"
"Alberta","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease considerably"
"Vermont","USA","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase considerably","Will stay the same","Will increase slightly","Will increase slightly"
"","","Canada","Male","Very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease slightly"
"Quebec","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will stay the same"
"Ontario","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will stay the same","Will stay the same","Will stay the same","Can't comment"
"Alberta","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Can't comment","Can't comment"
"Mexico","Mexico","Canada","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will stay the same"
"","","Canada","Male","Very important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Ontario","Canada","Canada","Male","Very important",NA,NA,NA,1,"Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly"
"Nova Scotia","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Can't comment","Will decrease slightly"
"Ontario","Canada","Canada","Male","Very important",NA,1,NA,NA,"Will decrease considerably","Will stay the same","Will increase slightly","Will decrease considerably"
"","","United States","Female","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"Florida","USA","Canada","Male","Very important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"","","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"","","Canada","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will increase slightly"
"Australia","Australia","Canada","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Chile","Chile","Chile","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will stay the same","Will decrease considerably"
"Saskatchewan","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","","Will stay the same","Will increase slightly"
"","","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Can't comment","Will decrease considerably"
"Yukon Territory","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"British Columbia","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will decrease considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase slightly","Will stay the same"
"","","Canada","Male","Not very important",NA,1,1,NA,"Will increase slightly","Can't comment","Can't comment","Will decrease slightly"
"Alberta","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will stay the same","","Will stay the same"
"Prince Edward Island","Canada","Canada","Female","Very important",NA,1,NA,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Alberta","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will increase considerably","Will decrease considerably"
"British Columbia","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"","","Canada","Male","Very important",1,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"New Brunswick","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will stay the same"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will increase considerably","Will increase considerably"
"British Columbia","Canada","Canada","Male","Very important",NA,NA,NA,1,"Will increase slightly","","Will increase slightly","Will stay the same"
"Alberta","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"British Columbia","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Argentina","Argentina","Argentina","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will increase considerably"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"British Columbia","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will increase slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will decrease slightly","Can't comment","Will decrease considerably"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","Can't comment","Can't comment","Will decrease slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase considerably","","Will decrease slightly","Will stay the same"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will decrease slightly"
"Sweden","Sweden","Canada","Female","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will stay the same"
"Newfoundland and Labrador","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will increase slightly","Will increase slightly"
"Ontario","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase slightly","Will decrease considerably"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase considerably","Will decrease slightly"
"Alberta","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Newfoundland and Labrador","Canada","Canada","Male","Very important",1,NA,1,NA,"Will increase considerably","Will increase slightly","Will increase considerably","Will decrease considerably"
"New Brunswick","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will decrease considerably"
"Japan","Japan","Canada","Male","Very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"New Brunswick","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase considerably","Will decrease slightly","Will decrease slightly","Will increase considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will stay the same","Will decrease slightly"
"British Columbia","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"New York","USA","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will increase slightly","Will decrease considerably"
"","","Canada","Male","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease considerably"
"United Kingdom","United Kingdom","France","Male","Very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"","","Canada","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will increase considerably"
"","","Canada","Female","Not at all important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Can't comment"
"","","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease considerably"
"","","Canada","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will stay the same"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will stay the same","Will decrease considerably"
"New Brunswick","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease considerably","","Will decrease slightly","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,NA,1,"Will stay the same","Will increase slightly","Will stay the same","Can't comment"
"","","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will stay the same"
