"Location","Country","Country_work","gender","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation"
"Netherlands","Netherlands","Netherlands","Female","",NA,NA,NA,1,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"Malaysia","Malaysia","Malaysia","Male","",1,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will stay the same"
"Israel","Israel","Israel","Male","",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","Will increase slightly"
"Israel","Israel","Israel","Male","",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease slightly"
"Spain","Spain","Spain","Male","Not at all important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably",""
"Israel","Israel","Israel","Female","Very important",NA,NA,NA,1,"Will stay the same","","","Can't comment"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Female","Not very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"","","Australia","Female","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Ontario","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"Australia","Australia","Australia","Male","Not at all important",NA,1,NA,NA,"Will decrease slightly","Can't comment","Can't comment","Will decrease considerably"
"Illinois","USA","Italy","Male","Not at all important",NA,NA,1,NA,"Will stay the same","","Will stay the same","Will decrease slightly"
"Alberta","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Portugal","Portugal","Portugal","Male","Not at all important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will increase considerably"
"Italy","Italy","Portugal","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"Israel","Israel","Israel","Female","Somewhat important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"California","USA","United States","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Netherlands","Netherlands","Netherlands","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","","Will decrease considerably","Will decrease considerably"
"Italy","Italy","Italy","Male","Not at all important",NA,NA,1,NA,"Will decrease considerably","Can't comment","Will increase considerably","Can't comment"
"Arizona","USA","United States","Female","Somewhat important",NA,1,NA,NA,"Will increase slightly","Will increase considerably","Will increase considerably","Will decrease slightly"
"Wisconsin","USA","United States","Female","Very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Portugal","Portugal","Spain","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"Belgium","Belgium","Belgium","Male","Somewhat important",NA,NA,NA,1,"Will decrease considerably","Will stay the same","Will increase considerably","Will decrease considerably"
