"","Country","gender","Location","partnership_outside","partnership_outside_before"
"1125","","Male","","Some partnership","Some partnership"
"1126","Canada","Male","Quebec","Strong partnership","Strong partnership"
"1127","Canada","Male","Ontario","Some partnership","Some partnership"
"1128","Canada","Male","Nova Scotia","Some partnership","No partnership"
"1129","Canada","Male","Ontario","Strong partnership","Some partnership"
"1131","USA","Male","California","Strong partnership","Some partnership"
"1134","Canada","Male","Quebec","Strong partnership","Strong partnership"
"1138","Canada","Male","Ontario","Some partnership","No partnership"
"1139","Canada","Female","Ontario","Strong partnership","No partnership"
"1141","Canada","Male","Quebec","Strong partnership","Some partnership"
"1144","Canada","Male","Quebec","Some partnership","Some partnership"
"1146","Canada","Female","Nova Scotia","Some partnership","No partnership"
"1149","USA","Female","New Jersey","Some partnership","Strong partnership"
"1150","Canada","Female","Ontario","Strong partnership","Some partnership"
"1152","Canada","Male","Ontario","No partnership","Some partnership"
"1153","Canada","Male","Nova Scotia","Strong partnership","Some partnership"
"1155","Canada","Female","Ontario","Some partnership","No partnership"
"1159","Canada","Male","New Brunswick","Some partnership","Strong partnership"
"1160","Canada","Male","Quebec","Some partnership","No partnership"
"1162","","Male","","Some partnership","No partnership"
"1165","Canada","Male","Quebec","Some partnership","Some partnership"
"1166","Canada","Male","Quebec","Some partnership","Some partnership"
"1167","Canada","Male","Ontario","Some partnership","Some partnership"
"1169","Canada","Male","Ontario","Some partnership","No partnership"
"1172","Canada","Other","Ontario","Strong partnership","No partnership"
"1173","Sweden","Female","Sweden","Strong partnership","Some partnership"
"1175","France","Male","France","Some partnership","Some partnership"
"1176","Canada","Male","Quebec","Some partnership","Some partnership"
"1178","Canada","Male","Quebec","Some partnership","No partnership"
"1183","Canada","Male","Quebec","Some partnership","No partnership"
"1187","Canada","Female","British Columbia","Some partnership","No partnership"
"1190","Canada","Male","New Brunswick","Some partnership","No partnership"
"1191","Canada","Female","Nova Scotia","Some partnership","Strong partnership"
"1194","Canada","Male","Ontario","Strong partnership","Some partnership"
"1195","USA","Male","Nebraska","No partnership","Some partnership"
"1196","Canada","Male","Quebec","No partnership","Strong partnership"
"1197","Canada","Male","Quebec","Some partnership","Some partnership"
"1211","Canada","Female","Ontario","Some partnership","No partnership"
"1212","France","Male","France","Some partnership","Some partnership"
"1216","Canada","Male","Manitoba","Some partnership","No partnership"
"1217","Canada","Male","Alberta","Strong partnership","No partnership"
"1219","","Female","","No partnership","Some partnership"
"1221","Canada","Male","Ontario","Strong partnership","Some partnership"
"1223","United Kingdom","Female","United Kingdom","Some partnership","Some partnership"
"1225","","Male","","Some partnership","No partnership"
"1229","Canada","Male","Nova Scotia","Some partnership","No partnership"
"1232","Canada","Male","British Columbia","Strong partnership","Some partnership"
"1234","Canada","Male","British Columbia","Some partnership","No partnership"
"1236","","Male","","Some partnership","Strong partnership"
"1237","Canada","Female","Quebec","Some partnership","No partnership"
"1239","","Male","","Strong partnership","Some partnership"
"1241","Canada","Female","British Columbia","Some partnership","No partnership"
"1243","Canada","Female","Ontario","Exclusive partnership","No partnership"
"1245","Canada","Female","British Columbia","Strong partnership","Some partnership"
