"Location","nation","id","Country","Country_work","gender","what_participant_group","field_research","total_research","percent_Applied_Research_current","percent_Applied_Research_past","percent_Fundamental_Research_past","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Use_inspired_Research_past","changed","majority_current","majority_past","curr_past.app","curr_past.use","curr_past.fund","app_mean","app_sd","use_mean","use_sd","fund_mean","fund_sd"
"Ontario","Canada",524,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,100,70,30,0,"Yes","fund.current","fund.past",0,30,-30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",530,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,80,40,60,20,0,0,"Yes","app.current","fund.past",40,0,-40,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"British Columbia","Canada",531,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,0,0,100,80,20,0,"Yes","fund.current","fund.past",0,20,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",532,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",90,40,80,0,0,60,10,"Yes","use.current","app.past",-40,50,0,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Newfoundland and Labrador","Canada",536,"Canada","Chad","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,50,60,30,30,20,10,"Yes","app.current","app.past",-10,10,0,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Quebec","Canada",537,"Canada","Canada","Female","","Natural Science",100,0,0,100,80,20,0,"Yes","fund.current","fund.past",0,20,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",549,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,70,50,50,30,0,0,"Yes","app.current","fund.app.half.past",20,0,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",562,"Canada","Canada","Male","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Physical Science (eg. math, physics, chemistry, computer science)",100,80,0,50,0,20,50,"Yes","app.current","fund.app.half.past",80,-30,-50,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"British Columbia","Canada",563,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,20,10,50,40,40,40,"Yes","fund.current","fund.past",10,0,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Manitoba","Canada",572,"Canada","","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,0,0,90,60,40,10,"Yes","fund.current","fund.past",0,30,-30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
