"Location","nation","id","Country","Country_work","gender","what_participant_group","field_research","total_research","percent_Applied_Research_current","percent_Applied_Research_past","percent_Fundamental_Research_past","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Use_inspired_Research_past","changed","majority_current","majority_past","app.use.fund.current","app.use.fund.past","curr_past.app","curr_past.use","curr_past.fund"
"Brazil","Brazil",399,"Brazil","Brazil","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,70,20,80,30,0,0,"Yes","app.current","fund.past",-70,80,50,0,-50
"Brazil","Brazil",403,"Brazil","Brazil","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",100,60,40,50,10,30,10,"Yes","app.current","fund.past",-90,50,20,20,-40
"Brazil","Brazil",412,"Brazil","Brazil","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,30,10,70,40,30,20,"Yes","fund.current","fund.past",40,70,20,10,-30
"Brazil","Brazil",413,"Brazil","Brazil","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,100,80,10,0,"Yes","fund.current","fund.past",80,100,0,10,-20
"Uruguay","Uruguay",415,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",150,6.66666666666667,0,66.6666666666667,66.6666666666667,66.6666666666667,33.3333333333333,"Yes","use.current","fund.past",-73.3333333333334,66.6666666666667,6.66666666666667,33.3333333333334,0
"Chile","Chile",760,"Chile","Chile","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,20,10,60,40,20,30,"Yes","fund.current","fund.past",40,60,10,-10,-20
"Serbia","Serbia",852,"Serbia","Serbia","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,0,0,100,80,20,0,"Yes","fund.current","fund.past",80,100,0,20,-20
"Brazil","Brazil",1203,"Brazil","Brazil","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,50,60,0,0,50,40,"Yes","use.app.half.current","app.past",0,-100,-10,10,0
"Chile","Chile",1266,"Chile","Chile","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,20,10,80,60,20,10,"Yes","fund.current","fund.past",60,80,10,10,-20
"Nigeria","Nigeria",1690,"Nigeria","Nigeria","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,40,40,30,30,30,30,"Yes","fund.current","fund.past",30,30,0,0,0
